"""radio""",https://usustatesman.com/wp-content/uploads/2013/10/2840326-2159898677.jpg,"""Aggie Radio""","""Provides students with opportunities to DJ, create radio talk shows, podcasts, & plan/coordinate events (mainly concerts).""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform
"""blight""",https://i.ibb.co/mTnCpwH/blight.png,"""Blue Light""","""Meet content creation needs for clients, primarily USUSA.""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform
"""series""",https://usustatesman.com/wp-content/uploads/2015/10/TM_Pobev.jpg,"""Series Committee""","""Plans & executes regular/recurring events that are generally more artistic like PoBev and Moonlight & Music.""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSfd1ew37jWxgxQvDPUMv7tzFdnl6y4vGfSII0OAxYQPewWFrQ/viewform
"""states""",https://i.ibb.co/2vhVDVJ/states.png,"""Utah Statesman""",""" Weekly student news. Gives students an opportunity to write on a variety of topics.""","""Application Link: """,https://docs.google.com/forms/d/e/1FAIpQLSea_u0ACnO9fcVxBlN19upb2QVO2Qmg2YLPl9SibU6p2q-CgA/viewform
"""film""",https://images.pexels.com/photos/436413/pexels-photo-436413.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"""Film Club""","""At Film Club we watch and discuss critically acclaimed movies. We have a weekly genre or category and then we vote on films in those categories to watch for the week. It is a fun, laid-back and unpretentious atmosphere. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/filmclub
"""bigband""",https://usustatesman.com/wp-content/uploads/2015/11/DR.BigBandSwing-1-2.jpg,"""Big Band Swing Club""","""The Big Band Swing Club is a dance club at Utah State University dedicated to the teaching and preservation of dances from the big band era such as the Balboa, Blues, Charleston, Jitterbug, and Lindy Hop. We celebrate the Jazz music that was once popular in dance clubs from the '20s to '40s. We invite all to participate and to be a part of great American history!""","""Application Link: """,https://www.usu.edu/involvement/clubs/bigbandswing
"""cswing""",https://usustatesman.com/wp-content/uploads/2015/09/SwingDance.jpg,"""Country Swing Club""","""We are the USUSA Country Swing Club. We get together every Tuesday night from 8:00 pm - 12:00 am to provide a fun and safe country swing and line dance environment. Instruction is available from 8:30 pm to 9:00 pm withopen floor to follow. Come get your dancing on, we would love to have you!
Join our Club!""","""Application Link: """,https://www.usu.edu/involvement/clubs/countryswing
"""star""","https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/star-wars-fans-1545162965.jpg?crop=1xw:0.9615384615384616xh;center,top&resize=1200:*","""Star Wars Club""","""The purpose of the USUSA Star Wars Club is to talk Star Wars, travel to FanX, and do Star Wars themed events and activities. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/starwars
"""thea""",http://johnabbottphoto.com/wp-content/uploads/2013/02/EDUCATION_010_musical-theater_John-Abbott.jpg,"""Theatre Education Student Assocation""","""TESA's purpose is to help the members of the theatre education program to network and gain stronger relationships within the department as well as to gain experiences to benefit their portfolios as well as future life as educators.""","""Application Link: """,https://www.usu.edu/involvement/clubs/theatreeducationstudentassocation
