"""blucru""",https://usustatesman.com/wp-content/uploads/2015/12/IMG_6393.jpg,"""Blue Crew""","""Assist in the marketing of events & helps set up/take down for events.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_dh6MakKgwh0WKtU,,
"""activity""",https://usustatesman.com/wp-content/uploads/2018/10/mh-howl-2016-7-1-1050x500.jpg,"""Activities Committee""","""Plans & executes The Howl, Mardi Gras, & End of Year Bash.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_5tnDz4KcQkIMUTk,,
"""trad""",https://usustatesman.com/wp-content/uploads/2020/09/img_9338-1-1050x700.jpg,"""Traditions Committee""","""Plans & executes Homecoming week, Mr.USU, Sweater Swap, & High Stakes Bingo.""","""Application Link: """,https://usu.co1.qualtrics.com/jfe/form/SV_5tnDz4KcQkIMUTk,,
"""fsl""",https://i.ibb.co/xgrX0Lm/fsl.jpg,"""Fraternity and Sorority Life""","""Advance personal development through community service, philanthropic fundraising, & activities.""","""Sorority Link: """,https://www.usu.edu/involvement/fsl/sorority-recruitment,"""Fraternity Link: """,https://docs.google.com/forms/d/e/1FAIpQLSfoAJLxRYokCNgDpJ-0A4pCIZv7ZLM3bF2Ng8CiYMwRHJrERQ/viewform?usp=send_form
"""game""",https://images.pexels.com/photos/776654/pexels-photo-776654.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,"""Aggie Game Night""","""The purpose of the Club is to share in camaraderie through tabletop board games (and other activities of a similar genre), and to build a community of friendship and understanding across all social boundaries. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/aggiegamenights,,
"""paint""",https://www.chicagotribune.com/resizer/zTISrujxb3FjE97L-6DdGI7FRh4=/1200x0/left/middle/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/EZ5C3ZPLMRFC5OYC4PSZTIFTY4.jpg,"""USUSA Paintball""Aggie Game Night""","""The mission of the USUSA Paintball Club is to offer all USU students the opportunity to learn, experience, and engage in paint-balling in a fun and safe environment.""","""Application Link: """,https://www.usu.edu/involvement/clubs/paintball,,
"""tennis""",https://www.gambleonline.co/app/uploads/2020/08/GettyImages-1248502207-1.jpg,"""USUSA Table Tennis Club""","""Come and play table tennis if you want to have fun with it!""","""Application Link: """,https://www.usu.edu/involvement/clubs/tabletennis,,
"""spike""",https://www.google.com/url?sa=i&url=https%3A%2F%2Fimages.squarespace-cdn.com%2Fcontent%2Fv1%2F5b2a97d73c3a532ae784b0d9%2F1630885986085-ESP1SBQ56IWCST8Q5KKT%2Fusu-spikeball-club.png&psig=AOvVaw3-lEXtjpb0PJl3hmiXxAJP&ust=1647644811212000&source=images&cd=vfe,"""USUSA Spikeball Roundnet Club""","""The purpose of USUSA Spikeball Roundnet Club is to provide an opportunity for students of Utah State University to learn and play the sport of Spikeball in a friendly and competitive environment.""","""Application Link: """,https://www.usu.edu/involvement/clubs/spikeballroundnet,,
"""pickle""","https://www.gannett-cdn.com/presto/2018/11/01/PPAS/6217cdc7-749a-4be6-b8a8-0e130df32684-Pickle_Ball008.JPG?crop=4871,2728,x0,y31&width=3200&height=1680&fit=bounds","""USUSA Pickleball Club""","""In the pickleball club we gather to play pickleball about once a week. We host a tournament each semester.""","""Application Link: """,https://www.usu.edu/involvement/clubs/pickleball,,
"""skate""",https://d1dxs113ar9ebd.cloudfront.net/225batonrouge/2018/08/iStock-skates-e1533765778575.jpg,"""USUSA Rollerskating Club""","""The USUSA Rollerskating Club gets fellow students to meet together to rollerskate and have fun. ""","""Application Link: """,https://www.usu.edu/involvement/clubs/rollerskating,,
"""aikido""",https://s-i.huffpost.com/gen/3415222/images/o-AIKIDO-facebook.jpg,"""USUSA Aikido Club""","""The purpose of the Aikido Club is to provide an opportunity for members of the university and surrounding communities to learn and maintain a practice in the art of Aikido, which is a self-defense practice. The purpose includes showing meditation, breathing, and balancing techniques for mind-body health.""","""Application Link: """,https://www.usu.edu/involvement/clubs/aikido,,
"""snow""",https://i.ibb.co/jLGhxBz/snew.png,"""USUSA Snow Club""","""The Snow Club brings Aggies together to celebrate, shred, and inspire others to do the same in Utah’s powder.  Members are eligible for industry discounts, including the amazing IKON Student Pass and Beaver Mountain Student Season Pass.""","""Application Link: """,https://www.usu.edu/involvement/clubs/snowclub,,
"""ram""",https://www.usu.edu/degrees/images/large/recreation_resource_management.jpg,"""Recreation Administration (RAM 64)""","""The purpose of RAM64 is to provide networking opportunities and recreational development through service opportunities and events to students in the Recreation Administration Major and any other interested students.""","""Application Link: """,https://www.usu.edu/involvement/clubs/recreationadministrationclub64,,
